comb,meshtype,meshidx,ncell,h,Udof,Kdof,Pdof,pdof,xdof,f,UxA,UyA,Ul2norm,Kl2norm,Pl2norm,Phdivnorm,pl2norm
P̄0d1d1P1(corr),cart,24,1152,2.0576447638154796,4704,7104,6816,625,19249,0.2,-13.828207467385942,14.196672909810772,260.0592632835333,15.87685790723425,12.20937711108056,12.20937711108056,36.50770544541772
P̄0d1d1P1(corr),cart,24,1152,2.0576447638154796,4704,7104,6816,625,19249,0.4,-22.696737603827465,21.682874072680345,451.46830044515116,25.405751641576764,19.595313249615447,19.595313249615447,34.97476810361828
P̄0d1d1P1(corr),cart,48,4608,1.0288223819077418,18624,28032,27456,2401,76513,0.2,-13.777466557878963,14.202726891919953,259.7154118293934,15.865291038652648,12.235119627568817,12.235119627568817,36.518522785866566
P̄0d1d1P1(corr),cart,48,4608,1.0288223819077418,18624,28032,27456,2401,76513,0.4,-22.729397888414216,21.708141028152667,452.2518894486122,25.471653884592154,19.737442878021866,19.737442878021866,35.037724077809926
P̄1d2d2P2(corr),cart,6,72,8.230579055261915,684,1152,1044,169,3049,0.4,-22.731405065052005,21.633285582255564,451.04776580542773,25.392263258686707,19.4162348486034,19.4162348486034,34.94749126041006
P̄1d2d2P2(corr),cart,12,288,4.115289527630959,2664,4464,4248,625,12001,0.2,-13.87111591776897,14.178975703816175,260.1584278882018,15.883303041127283,12.207514209203625,12.207514209203625,36.50748179542858
P̄1d2d2P2(corr),cart,12,288,4.115289527630959,2664,4464,4248,625,12001,0.4,-22.647410822919753,21.638972151517635,449.95546887785326,25.35887083552403,19.54978449173505,19.54978449173505,35.00339952318254
P̄1d2d2P2(corr),cart,24,1152,2.0576447638154796,10512,17568,17136,2401,47617,0.2,-13.790405395043477,14.19145765101637,259.6445770871311,15.863462331625827,12.2333639284701,12.2333639284701,36.52026896586001
P̄1d2d2P2(corr),cart,24,1152,2.0576447638154796,10512,17568,17136,2401,47617,0.4,-22.9333264925087,21.82085593100202,457.0493850412063,25.70039658320632,19.990224169172073,19.990224169172073,35.04943596583113
P̄1d2d2P2(corr),cart,6,72,8.230579055261915,684,1152,1044,169,3049,0.2,-14.05629627346748,14.14923653467222,261.15873643170636,15.92787272045313,12.166239922972965,12.166239922972965,36.480954103940725
P̄1d2d2P2(corr),cart,48,4608,1.0288223819077418,41760,69696,68832,9409,189697,0.2,-13.759771656437458,14.2001631777488,259.5052703277337,15.85909334825028,12.252794575974727,12.252794575974727,36.525451012454134
P̄1d2d2P2(corr),cart,48,4608,1.0288223819077418,41760,69696,68832,9409,189697,0.4,-22.620873624585187,21.643797828563315,449.56255783378947,25.37204115677004,19.813950351857894,19.813950351857894,35.0858187811623
